type,date,download
注册中心,19,3101
注册中心,17,0
质量办,17,0
实践科,11,0
计划科,11,0
质量办,10,432
计划科,5,0
注册中心,2,0
注册中心,30,0
综合科,29,0
质量办,28,0
注册中心,28,0
实践科,22,0
质量办,22,0
注册中心,21,0
实践科,21,0
综合科,21,0
实践科,16,0
质量办,15,0
计划科,14,0
注册中心,23,0
质量办,22,373
质量办,22,0
实践科,22,0
教学通知,21,0
实践科,16,0
实践科,14,335
实践科,11,292
教研教改,10,0
质量办,10,0
实践科,9,256
实践科,9,291
综合科,4,0
计划科,3,0
注册中心,2,0
注册中心,1,0
实践科,1,0
注册中心,1,0
注册中心,23,0
质量办,20,0
实践科,5,0
综合科,5,0
质量办,4,0
注册中心,31,0
注册中心,31,0
实践科,31,0
实践科,31,0
实践科,31,284
实践科,29,0
注册中心,29,0
注册中心,29,0
注册中心,28,0
注册中心,25,0
注册中心,25,0
实践科,25,0
注册中心,25,0
实践科,24,317
注册中心,23,0
注册中心,23,0
注册中心,23,0
注册中心,15,0
实践科,12,386
注册中心,12,0
实践科,3,646
计划科,28,0
计划科,28,0
质量办,26,373
实践科,26,443
注册中心,25,0
注册中心,25,0
注册中心,10,0
综合科,18,0
实践科,15,1239
教研教改,15,0
注册中心,14,0
质量办,13,0
计划科,8,0
质量办,6,0
综合科,5,0
综合科,5,0
实践科,1,314
实践科,30,317
注册中心,30,0
实践科,30,321
实践科,30,413
质量办,29,0
教研教改,29,0
综合科,26,0
实践科,26,0
注册中心,26,0
实践科,26,0
注册中心,23,0
实践科,23,3151
综合科,23,0
综合科,17,0
实践科,17,651
注册中心,16,0
计划科,16,0
注册中心,15,0
计划科,15,0
综合科,10,0
实践科,7,0
实践科,7,432
实践科,30,538
实践科,30,390
实践科,29,0
注册中心,26,0
质量办,25,0
教研教改,22,0
综合科,21,0
注册中心,21,0
注册中心,20,0
质量办,15,0
教研教改,14,0
实践科,13,797
实践科,13,500
实践科,13,550
实践科,12,433
实践科,12,0
注册中心,6,0
教学通知,1,0
教学通知,31,288
实践科,31,1948
实践科,26,606
实践科,26,0
实践科,26,0
实践科,26,0
实践科,26,0
教学通知,25,0
质量办,24,1388
教学通知,21,0
注册中心,20,0
注册中心,19,0
注册中心,18,0
教学通知,18,0
质量办,18,0
注册中心,15,0
注册中心,14,0
质量办,12,0
注册中心,11,0
注册中心,25,0
注册中心,25,0
注册中心,25,0
教学通知,22,0
注册中心,22,0
注册中心,22,0
教学通知,21,0
教学通知,10,0
实践科,10,0
实践科,10,0
实践科,10,0
注册中心,10,0
实践科,8,383
注册中心,4,0
注册中心,4,0
注册中心,4,0
教学通知,2,152
综合科,2,1864
综合科,2,0
实践科,1,0
注册中心,28,0
实践科,22,0
实践科,10,0
实践科,10,0
实践科,10,1281
实践科,10,1824
综合科,9,0
实践科,8,0
实践科,8,1380
质量办,7,0
实践科,5,0
实践科,30,0
计划科,30,0
注册中心,30,0
教学通知,29,0
教学通知,25,0
教学通知,25,0
注册中心,25,0
注册中心,25,0
注册中心,25,0
教学通知,14,576
注册中心,13,0
注册中心,13,0
注册中心,11,0
教研教改,11,0
教研教改,11,0
综合科,9,0
计划科,8,0
教学通知,8,638
教研教改,6,0
教研教改,6,0
计划科,6,0
实践科,3,0
综合科,30,0
注册中心,30,0
计划科,28,487
计划科,28,0
教学通知,28,318
注册中心,28,0
实践科,28,503
教学通知,14,253
教学通知,12,0
实践科,12,453
教学通知,9,391
注册中心,9,0
注册中心,7,0
教学通知,4,0
注册中心,29,0
教研教改,29,0
实践科,27,382
教研教改,26,0
教研教改,26,0
计划科,24,0
教学通知,23,0
注册中心,23,0
教学通知,21,0
教学通知,20,0
注册中心,17,0
注册中心,15,0
教学通知,14,0
计划科,10,0
教研教改,9,5261
注册中心,4,1118
计划科,4,0
实践科,3,4245
质量办,2,520
质量办,2,0
计划科,1,0
注册中心,1,0
质量办,29,781
教研教改,28,0
教学通知,26,0
计划科,26,0
计划科,26,0
教学通知,25,197
教学通知,22,233
教学通知,21,211
实践科,21,518
教学通知,18,0
教学通知,18,0
教材中心,10,2208
质量办,8,970
实践科,8,514
实践科,8,823
实践科,8,0
实践科,8,0
质量办,3,0
教材中心,30,2234
计划科,29,0
综合科,29,0
注册中心,23,520
注册中心,23,535
质量办,22,0
注册中心,22,0
注册中心,19,4957
质量办,16,0
综合科,15,0
实践科,15,1356
教研教改,14,0
综合科,12,0
实践科,4,948
注册中心,4,0
注册中心,4,0
综合科,31,0
计划科,31,0
注册中心,29,0
注册中心,29,1199
注册中心,29,578
注册中心,29,456
注册中心,29,428
注册中心,29,448
注册中心,29,442
综合科,28,0
注册中心,20,0
注册中心,20,589
注册中心,20,539
实践科,15,742
质量办,15,486
质量办,14,0
注册中心,13,0
注册中心,13,0
质量办,10,548
注册中心,8,0
实践科,4,0
计划科,28,0
实践科,24,0
实践科,24,1527
综合科,22,0
质量办,22,950
注册中心,21,0
注册中心,20,0
计划科,20,0
计划科,18,673
计划科,18,1958
注册中心,18,0
实践科,11,4915
综合科,11,0
实践科,10,9066
注册中心,10,2729
实践科,6,469
注册中心,8,0
质量办,6,0
实践科,4,1179
实践科,4,562
实践科,4,581
实践科,30,1212
实践科,29,3730
注册中心,29,0
实践科,29,0
质量办,24,0
注册中心,23,0
教研教改,21,481
实践科,21,455
实践科,21,1964
综合科,20,0
注册中心,20,0
实践科,17,0
质量办,17,1135
实践科,14,0
计划科,14,0
实践科,5,831
实践科,4,0
教研教改,4,2238
实践科,29,0
实践科,28,4714
实践科,28,8143
计划科,26,0
注册中心,26,461
质量办,22,0
教研教改,21,0
注册中心,21,0
质量办,21,863
实践科,19,0
实践科,19,1169
实践科,18,0
实践科,15,0
实践科,13,577
实践科,12,4032
实践科,12,2193
教研教改,11,2246
计划科,26,0
实践科,24,1506
综合科,23,0
实践科,23,0
实践科,23,0
教材中心,23,2735
计划科,20,0
实践科,17,0
注册中心,16,621
注册中心,16,577
注册中心,16,670
注册中心,16,0
质量办,11,0
教研教改,11,3146
综合科,10,0
计划科,9,0
质量办,9,0
质量办,6,0
注册中心,6,0
实践科,5,1356
注册中心,17,796
注册中心,17,790
计划科,16,0
注册中心,15,1870
计划科,9,0
实践科,9,8097
实践科,9,0
质量办,8,0
教研教改,8,0
实践科,6,0
教材中心,2,1353
计划科,2,0
教研教改,31,0
质量办,31,662
注册中心,31,0
注册中心,31,2837
教研教改,31,0
注册中心,30,629
注册中心,30,780
计划科,30,0
实践科,9,0
实践科,9,0
实践科,9,0
实践科,9,0
实践科,9,3101
综合科,9,0
实践科,8,1336
注册中心,8,0
综合科,5,670
注册中心,4,0
质量办,4,807
综合科,1,0
注册中心,30,0
计划科,29,0
教研教改,24,0
实践科,23,1001
教研教改,23,0
计划科,23,0
注册中心,17,0
注册中心,17,1063
计划科,2,0
注册中心,2,0
实践科,2,1860
质量办,1,671
教研教改,31,0
教研教改,31,0
教研教改,31,0
质量办,28,1773
综合科,28,0
综合科,28,0
质量办,28,2141
注册中心,28,0
教研教改,26,5511
教研教改,26,5191
教研教改,26,5169
计划科,24,0
计划科,24,1458
计划科,24,1218
实践科,9,0
实践科,9,0
计划科,29,0
教研教改,28,695
实践科,23,768
实践科,23,0
注册中心,23,0
计划科,21,0
质量办,21,1208
注册中心,21,0
综合科,20,0
计划科,16,0
注册中心,15,1800
计划科,15,0
计划科,14,0
教材中心,13,0
注册中心,13,0
注册中心,8,0
计划科,7,0
注册中心,6,0
计划科,5,0
实践科,5,3698
注册中心,16,667
注册中心,16,1222
注册中心,15,0
实践科,11,0
计划科,8,0
注册中心,7,10937
教研教改,3,0
综合科,3,0
计划科,1,0
质量办,26,966
注册中心,20,0
计划科,12,0
实践科,10,0
注册中心,10,0
计划科,6,0
实践科,5,3083
实践科,5,3833
质量办,4,0
质量办,4,0
教研教改,29,659
综合科,15,885
注册中心,14,0
注册中心,9,572
实践科,8,1965
注册中心,8,0
注册中心,6,1256
注册中心,6,707
实践科,5,0
注册中心,2,520
实践科,2,0
实践科,30,995
计划科,28,0
教研教改,24,0
注册中心,24,741
注册中心,24,662
注册中心,23,751
注册中心,23,0
教材中心,22,1561
注册中心,19,845
实践科,18,0
质量办,19,1092
注册中心,19,0
计划科,18,0
计划科,17,518
计划科,17,1490
实践科,14,0
注册中心,3,0
注册中心,11,343
综合科,9,610
计划科,4,0
注册中心,4,0
注册中心,2,1165
注册中心,29,1345
实践科,27,667
实践科,27,3230
注册中心,26,670
注册中心,26,0
实践科,19,907
注册中心,16,0
综合科,15,0
计划科,21,0
注册中心,21,0
实践科,17,0
质量办,17,633
综合科,15,0
实践科,14,1257
实践科,14,0
计划科,13,0
实践科,10,2862
注册中心,7,0
实践科,3,366
实践科,3,0
实践科,1,1277
计划科,27,0
综合科,21,0
注册中心,21,0
实践科,21,1493
实践科,20,1736
注册中心,20,0
实践科,19,446
注册中心,24,567
实践科,20,0
注册中心,19,0
注册中心,19,385
实践科,17,549
实践科,15,0
实践科,14,0
实践科,13,0
实践科,7,1346
实践科,7,370
注册中心,7,520
注册中心,6,370
注册中心,3,0
实践科,31,477
实践科,29,1067
质量办,27,552
实践科,27,695
综合科,24,0
教材中心,23,0
注册中心,22,819
实践科,18,634
教材中心,18,606
注册中心,17,393
教研教改,17,0
实践科,17,0
质量办,16,0
注册中心,16,0
计划科,15,0
注册中心,12,414
质量办,12,0
质量办,12,0
实践科,8,0
计划科,8,0
教研教改,5,1173
质量办,5,0
实践科,5,0
实践科,26,3966
实践科,26,5883
实践科,26,1486
注册中心,25,193
计划科,12,0
注册中心,9,570
注册中心,9,114
综合科,7,0
计划科,5,0
注册中心,1,350
实践科,31,0
实践科,30,1832
实践科,30,0
实践科,30,0
实践科,30,0
注册中心,26,294
注册中心,26,356
注册中心,26,319
注册中心,26,630
注册中心,24,265
教研教改,22,822
质量办,22,0
综合科,22,0
实践科,18,1472
综合科,8,0
实践科,5,1805
综合科,3,0
注册中心,30,0
质量办,30,0
实践科,29,3647
计划科,27,0
实践科,26,4654
注册中心,21,276
注册中心,21,432
实践科,20,411
实践科,20,0
实践科,20,0
实践科,20,0
实践科,20,0
注册中心,19,0
注册中心,19,0
质量办,15,0
教研教改,14,1373
教研教改,13,0

